,Edição,Textos,Textos de Física,Textos de Outras Áreas,Data,Número de Participantes,Participantes de Outras Áreas
0,1,7,5,2,11/2018,9,2
1,2,5,3,2,01/2019,6,0
2,3,8,6,2,04/2019,9,2
3,4,6,4,2,06/2019,8,2
4,5,6,4,2,09/2019,9,2
5,6,4,2,2,12/2019,9,3
6,7,5,2,3,04/2020,11,3
7,8,6,3,3,08/2020,9,3
8,9,5,3,2,10/2020,9,3
9,10,5,2,3,12/2020,10,3
10,11,4,2,2,04/2021,7,2
11,12,4,3,1,06/2021,8,1
12,13,4,2,2,08/2021,10,3
13,14,3,2,1,10/2021,8,2
14,15,6,4,2,12/2021,9,2
15,16,5,3,2,05/2022,10,1
16,17,4,3,1,08/2022,10,1
17,18,4,2,2,12/2022,10,1
18,19,4,2,2,05/2023,11,1
